,ShortName,RegionName,FullName,WebSite,PathToSoft,SoftInfo
0,РУАН ИМЕНИ Г.Б. МИРЗОЕВА,г. Москва,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКИЙ УНИВЕРСИТЕТ АДВОКАТУРЫ И НОТАРИАТА ИМЕНИ Г.Б. МИРЗОЕВА""",https://raa.ru/,https://raa.ru/sveden/files/PM.02_Programma_UP.02.01(1).pdf,"Unfortunately, there is no information regarding specific software used in the university."
1,АНО ВО «НАЦИОНАЛЬНЫЙ ИНСТИТУТ ДИЗАЙНА»,г. Москва,АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ «НАЦИОНАЛЬНЫЙ ИНСТИТУТ ДИЗАЙНА»,https://nid-design.org/,https://nid-design.org/programmy-obucheniya/vse-programmy.html,"blender, Adobe Creative Cloud, Sketch, Figma, Autodesk Revit, Autodesk AutoCAD, CorelDRAW, Adobe Illustrator, Adobe Photoshop, Adobe InDesign."
2,"АНОО ВО «Воронежский экономико-правовой институт», АНОО ВО «ВЭПИ», ВЭПИ",Воронежская область,Автономная некоммерческая образовательная организация высшего образования «Воронежский экономико-правовой институт»,https://vepi.ru/,https://vepi.ru/wp-content/uploads/upfiles/sveden/education/t10/tb5_24-25/09.03.03_pi/d/FOS_b1.v.03_09.03.03-pi-110401_26.09.2023.pdf,"Microsoft Office, Visual Basic, 1C:Enterprise, Google Analytics, Microsoft SQL Server Management Studio, Microsoft Visual Studio, Adobe Acrobat, CorelDRAW, SharePoint, Sublime Text, IntelliJ IDEA, Artifacts."
3,АНООВО «ЕУСПб»,г. Санкт-Петербург,Автономная некоммерческая образовательная организация высшего образования «Европейский университет в Санкт-Петербурге»,https://eusp.org/,https://eusp.org/programs/applied-data-analysis,"R, Python, OpenCV, Bash."
4,АНООВО «КИУ»,Калининградская область,Автономная некоммерческая образовательная организация высшего образования «Калининградский институт управления»,https://kiu39.ru/,https://kiu39.ru/_doc/OPOP-KKU/05. 38.02.03 - Операционная деятельность в логистике/2. Очная форма обучения (11 кл.)/4. Аннотации РПД/ЕН.02 Информационные технологии в профдеятельности.pdf,"Microsoft Office_word, pdf, Web."
5,Международный институт компьютерных технологий,Воронежская область,Автономная некоммерческая образовательная организация высшего образования «Международный институт компьютерных технологий»,https://www.iict.ru/,https://www.iict.ru/abitur/19-образовательные-программы/204-09-03-01,"Adobe Acrobat, GIT, Microsoft Office, Python, C/C++, Java, Golang."
6,АНООВО «ПССИ»,Московская область,Автономная некоммерческая образовательная организация высшего образования «Подольский социально-спортивный институт»,https://www.podolsk-ssi.ru/,https://www.podolsk-ssi.ru/sveden/objects/,"1C, Autodesk,Microsoft Office,Programming languages(C++,Python,Java),.System Software(Operating Systems),Data Analysis Tools,Computer-Aided Design (CAD) Software,Scientific Computing Software, Statistical Analysis Software,Virtual Learning Environment(VLE)."
7,"АНОО ВО ""СИБИТ""",Омская область,Автономная некоммерческая образовательная организация высшего образования «Сибирский институт бизнеса и информационных технологий»,https://sibit.sano.ru/,https://sibit.sano.ru/sveden/files/001817.pdf,Microsoft Office.
8,Сколковский институт науки и технологий,Московская область,Автономная некоммерческая образовательная организация высшего образования «Сколковский институт науки и технологий»,http://www.skoltech.ru/,https://www.skoltech.ru/ofis-transfera-znaniy/programmnoe-obespechenie/,"1. Программное обеспечение стека протоколов уровня L3 базовой станции RAN 5G RUS,
2. Программное обеспечение стека протоколов уровня L1-HighPHY/L2 базовой станции RAN 5G RUS,
3. DATASKAI,
4. Программа для расчета планово-высотных характеристик древесно-кустарниковой растительности по одиночным мультиспектральным спутниковым изображениям субметрового пространственного разрешения."
9,Российский университет кооперации,Московская область,Автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации «Российский университет кооперации»,https://www.ruc.su/,https://www.ruc.su/upload/documents/education/spo/prikladnaya-inform/ПИ 2017 учебная практика ПМ 02.pdf,"1C, Microsoft Office, MS Visual Studio 6.0, Borland Delphi 7.0, MS SQL Server 7.0, InterBase 5.5, ORACLE 8i, VisualWorks 5.5, and Gnome 2.2."
